title,price_kes,price_usd
"HP REFURBISHED ProDesk 600 G1 TWR, Intel Core I3, 4GB DDR3 RAM, 250GB SATA HDD, Windows 10",15000.0,116.1
"Lenovo REFURBISHED ThinkPad X1 Carbon 3th Gen. Intel® Core™ I5-5200U, 14"" FHD Display, 4GB RAM + 128GB SSD, Windows 10 Pro",20000.0,154.8
"HP REFURBISHED EliteBook 840 G7, 14"" FHD,  Intel Core I7, Intel UHD Graphics, 8GB RAM, 256GB SSD, Windows 11 Pro",52000.0,402.48
"HP REFURBISHED EliteBook X360 1030 G2, 7th Gen Intel Core I5, 13.3"" Touchscreen, 8GB RAM, 256GB SSD, Windows 11 Pro",38000.0,294.12
"HP REFURBISHED EliteBook X360 1040 G7, Intel Core I7, 14"" Touchscreen, 16GB RAM + 512GB SSD, Windows 11 Pro",60000.0,464.4
"Apple REFURBISHED MacBook Air A1466 (13-inch Early 2015), Intel Core I5, 8GB RAM + 512GB SSD, Intel HD Graphics",29000.0,224.46
"HP REFURBISHED ProBook X360 435 G7, AMD Ryzen 5 4500U, 13.3"" Touchscreen, 8GB RAM, 256GB SSD, Windows 11 Pro",42000.0,325.08
"Asus TUF Gaming A15 (2023) 90NR0JP5-M00400, 15.6 FHD, AMD Ryzen™ 7 7435HS, 144Hz Refresh Rate, 16GB DDR5, 1TB SSD, GeForce RTX™ 4060, Windows 11 Home - Jaegar Gray(1YR WRTY)",185000.0,1431.9
"Toshiba REFURBISHED Portege X20W, 12-inch, X360 Touchscreen, Intel Core I3-7100U, 8GB RAM + 256GB SSD",19000.0,147.06
"DELL REFURBISHED XPS 13 9380, 8th Gen Intel Core I5, 13.3"" FHD Non Touch, 4GB RAM, 256GB SSD, Windows 11 Pro",36000.0,278.64
